x,y,z,qx,qy,qz,qw
-0.014243842532956186,-0.5690036167830608,0.3025190299602447,-0.15645406768165462,0.46815282993944457,0.8329195581597597,0.25020004428557663
-0.06059537157101988,-0.5676576209412701,0.3225075533294053,-0.4886396791900367,0.45911789328613734,0.42475380918254696,0.6082978099339778
-0.08538200278989733,-0.5588488500531418,0.3050366909104958,-0.5816764170005324,0.3279236006934244,0.0892951796972537,0.7390162575319419
-0.06538705337040268,-0.589012047769005,0.30751919165182584,-0.31187656783917284,0.21994343169751945,0.5083175622506575,0.7719916768939451
-0.017470625096371928,-0.5786825364425644,0.2996053118649401,-0.15325808236674035,0.2930848224282734,0.8784089205039303,0.34497973191272685
-0.031839088312532626,-0.5402241515322701,0.31862364940847043,-0.4709312548224031,0.7401415714234203,0.4079093585052838,0.25302996408740747
-0.07095413650539723,-0.5525688826098568,0.3168701435526986,-0.6315884939868172,0.47991690013821864,0.22439761960938967,0.5660578164276394
-0.04859534794629708,-0.5303924374959723,0.3112394353225336,-0.6597887058693476,0.6855565095649936,0.21891893476970833,0.21625363765636543
-0.021905345580608915,-0.5857676323966924,0.30309437087525426,-0.19607902279565978,0.3087590454995419,0.8330800228264784,0.4149681243290202
-0.07664506844661484,-0.5526134936138559,0.30998062055424397,-0.6725105375863333,0.4238057096723416,0.1238509082314325,0.5939522285627972
-0.015340211886508248,-0.5620868160340906,0.31010409852885135,-0.25279494095242033,0.6388792239250374,0.6813183133890229,0.2524547700213674
-0.06522011640135306,-0.5766897344742793,0.3177624661823292,-0.46056616168265513,0.3764054713004852,0.40195608224193996,0.6961530290364876
